last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Jameson, Drey,686753,27.3,29.7,,26.1,13.2,3.7,,,,
Lambert, Jimmy,669424,43.9,,,29.9,10.3,15.9,,,,
Jansen, Kenley,445276,,8.7,79.4,11.9,,,,,,
Saucedo, Tayler,642048,1.7,38.6,,25.9,27.3,6.6,,,,
Voth, Austin,608723,44.0,,11.2,,,28.9,,,16.0,
Hill, Tim,657612,48.5,41.8,4.4,5.3,,,,,,
Speier, Gabe,642100,20.2,48.0,,30.4,1.4,,,,,
Stephenson, Robert,596112,25.1,,36.2,28.1,,0.3,10.2,,,
Strzelecki, Peter,657265,36.3,19.3,,26.6,17.8,,,,,
Velasquez, Vince,592826,41.5,1.1,,44.6,12.5,0.3,,,,
